id,name,birth_year,death_year,age,era,discipline,school_of_thought,central_question,methodology,core_concepts,key_works,expression_style,influenced_by_ids,influenced_on_ids,influence_score,neutral_academic_note,is_founder,is_bridge,region,gender
1,Confucius,-551,-479,72,Ancient,Moral / Political Philosophy,Confucianism,How should social and moral order be cultivated?,"Aphoristic teaching, dialogic instruction, compilation by disciples","Ren (benevolence), Li (ritual), Junzi (moral exemplar)",Analects (compiled),"Short aphoristic sayings, dialogic maxims",,,95,Central founder of Confucian ethical-political thought; core text-based tradition shaping East Asian institutions.,TRUE,TRUE,Ancient China,Male
2,Buddha (Siddhartha Gautama),-563,-483,80,Ancient,Philosophy / Religion,Buddhism,How can suffering be ended?,"Reflective practice, discourse, monastic code and suttas","Four Noble Truths, Eightfold Path, Anatta, Impermanence",Dhammapada; Sutta collections (oral tradition),"Parables, dialogues, aphoristic teachings",,,98,Founder of Buddhism; doctrinal and practical tradition with global historical influence.,TRUE,TRUE,Ancient India (Nepal),Male
3,Laozi (Lao Tzu),-600,-500,100,Ancient,Philosophy / Religion,Daoism (Taoism),How to live in harmony with the Dao (Way)?,Paradoxical aphorism; poetic aphorisms (Dao De Jing),"Dao, Wu wei (non-action), Naturalness",Tao Te Ching (attrib.),"Poetic aphorisms, paradox",,,92,Attributed author of Daoist foundational text; formative for East Asian thought and spirituality.,TRUE,TRUE,Ancient China,Male
4,Socrates,-469,-399,70,Ancient,Ethics / Philosophy,Socratic method / Classical Greek ethics,What is the good life and how should one live?,"Maieutic questioning (Socratic dialogue), ethical questioning","Self-knowledge, examined life, virtue as knowledge",(No writings; reported in Platonic/ Xenophontic dialogues),"Dialogic questioning, elenctic method",,3,96,Foundational figure in Western philosophy; influence known through students’ records.,FALSE,TRUE,Ancient Greece,Male
5,Mozi (Mo Tzu),-470,-391,79,Ancient,Ethics / Political Philosophy,Mohism,How should social order be achieved and what is moral conduct?,Logico-practical argumentation; utilitarian-like social ethics,"Universal love (jian ai), anti-fatalism, meritocratic governance",Mozi (collected essays),Didactic polemic and pragmatic arguments,,,72,Critic of Confucian ritualism; emphasized impartial caring and practical governance.,TRUE,FALSE,Ancient China,Male
6,Mencius (Mengzi),-372,-289,83,Ancient,Moral Philosophy,Confucianism (Neo-Confucian precursor),"Is human nature fundamentally good, and how should it be cultivated?","Dialogues, moral psychology, textual exegesis of Confucian tradition","Innate goodness, moral sprouts, righteous rule",Mencius (collected dialogues),"Dialogic, didactic debates",1,,85,Systematized a doctrine of innate moral tendencies within Confucian framework; central classical Confucian text.,FALSE,TRUE,Ancient China,Male
7,Chuang Tzu (Zhuangzi),-369,-286,83,Ancient,Philosophy / Literature,Daoism (Zhuangzi school),How to live naturally and freely in accord with the Dao?,"Parables, skeptical relativism, literary fable","Relativity of value, spontaneity, freedom from conventions",Zhuangzi (collection of stories and parables),"Whimsical, allegorical narratives and paradox",3,,84,Major literary-philosophical articulator of Daoist themes; influential in East Asian thought and literary traditions.,FALSE,TRUE,Ancient China,Male
8,Plato,-428,-348,80,Ancient,Philosophy / Political Theory,Platonism / Idealism,What is justice and what is the ideal polity?,"Dialogical dialectic, metaphysical theory (Forms), utopian political analysis","Theory of Forms, philosopher-king, tripartite soul",Republic; Symposium; Phaedo; Laws,Dialogic philosophical drama; myth and allegory,2,4,98,Major architect of Western metaphysics and political philosophy; teacher of Aristotle.,TRUE,TRUE,Ancient Greece,Male
9,Diogenes of Sinope,-412,-323,89,Ancient,Philosophy (Cynicism),Cynicism,How to live according to nature and reject artificial social conventions?,"Exemplary provocation, public performance, ascetic practice","Parresia (frankness), self-sufficiency, cosmopolitanism",(No extant writings; reported anecdotes),"Provocative acts, sharp aphorisms",,,70,Famous Cynic figure whose life-as-teaching influenced later ascetic and moral-critical traditions.,FALSE,FALSE,Ancient Greece,Male
10,Aristotle,-384,-322,62,Ancient,Philosophy / Science,Peripateticism / Aristotelianism,"What are the principles of being, knowledge, and ethical flourishing?","Systematic empirical observation, classification, syllogistic logic","Substance, four causes, virtue ethics (golden mean)",Nicomachean Ethics; Politics; Metaphysics; Poetics; Posterior Analytics,Systematic treatise and analytic prose,3,,99,Authoritative across many disciplines; foundational to medieval scholasticism and early science.,TRUE,TRUE,Ancient Greece,Male
